Name,Category,Details/Properties
궤도 중심간격 3.5m,TramNode,"{'name': '궤도 중심간격 3.5m', 'system_check': 'active'}"
콘크리트 직결 궤도,TramNode,"{'name': '콘크리트 직결 궤도', 'system_check': 'active'}"
주변전소(M/S) 2개소,TramNode,"{'name': '주변전소(M/S) 2개소', 'system_check': 'active'}"
견인변전소(T/S) 8개소,TramNode,"{'name': '견인변전소(T/S) 8개소', 'system_check': 'active'}"
정류기 용량 1500kW,TramNode,"{'name': '정류기 용량 1500kW', 'system_check': 'active'}"
급전전압 DC 750V (변동범위 500V~900V),TramNode,"{'category': 'HighLevel', 'name': '급전전압 DC 750V (변동범위 500V~900V)', 'system_check': 'active'}"
통합접지 저항 2Ω 이하,TramNode,"{'name': '통합접지 저항 2Ω 이하', 'system_check': 'active'}"
5모듈 1편성 (35m급),TramNode,"{'name': '5모듈 1편성 (35m급)', 'system_check': 'active'}"
알루미늄 합금 압출재 차체,TramNode,"{'name': '알루미늄 합금 압출재 차체', 'system_check': 'active'}"
최대 운행속도 70km/h,TramNode,"{'name': '최대 운행속도 70km/h', 'system_check': 'active'}"
상시 제동 감속도 1.2m/s²,TramNode,"{'name': '상시 제동 감속도 1.2m/s²', 'system_check': 'active'}"
비상 제동 감속도 2.8m/s²,TramNode,"{'name': '비상 제동 감속도 2.8m/s²', 'system_check': 'active'}"
차량 정원 250명 (6인/m² 기준),TramNode,"{'name': '차량 정원 250명 (6인/m² 기준)', 'system_check': 'active'}"
차상 신호장치(ATP/ATO) SIL4 등급,TramNode,"{'name': '차상 신호장치(ATP/ATO) SIL4 등급', 'system_check': 'active'}"
교통신호 우선권 제어 연동 (TSC Interface),TramNode,"{'name': '교통신호 우선권 제어 연동 (TSC Interface)', 'system_check': 'active'}"
LTE-R 700MHz 국가재난안전망 연계,TramNode,"{'name': 'LTE-R 700MHz 국가재난안전망 연계', 'system_check': 'active'}"
차량 내 고화질 CCTV (200만 화소 이상),TramNode,"{'name': '차량 내 고화질 CCTV (200만 화소 이상)', 'system_check': 'active'}"
관제센터 통합 사령 서버 (Hot Standby),TramNode,"{'name': '관제센터 통합 사령 서버 (Hot Standby)', 'system_check': 'active'}"
철도안전법 및 철도건설법,TramNode,"{'name': '철도안전법 및 철도건설법', 'system_check': 'active'}"
교통약자의 이동편의 증진법 (BF 인증),TramNode,"{'name': '교통약자의 이동편의 증진법 (BF 인증)', 'system_check': 'active'}"
환경영향평가법 및 소음진동관리법,TramNode,"{'name': '환경영향평가법 및 소음진동관리법', 'system_check': 'active'}"
건설기술진흥법 (설계의 안전성 검토),TramNode,"{'name': '건설기술진흥법 (설계의 안전성 검토)', 'system_check': 'active'}"
소방시설 설치 및 관리에 관한 법률,TramNode,"{'name': '소방시설 설치 및 관리에 관한 법률', 'system_check': 'active'}"
지장물 이설: 광역상수도 1000mm 이상,TramNode,"{'name': '지장물 이설: 광역상수도 1000mm 이상', 'risk_status': 'Critical_Settlement', 'system_check': 'active'}"
공사 중 교통 소통 대책 (TMP),TramNode,"{'name': '공사 중 교통 소통 대책 (TMP)', 'system_check': 'active'}"
복공판 및 가설 방음벽 설치,TramNode,"{'name': '복공판 및 가설 방음벽 설치', 'system_check': 'active'}"
공사 전/중/후 균열 및 변위 계측,TramNode,"{'name': '공사 전/중/후 균열 및 변위 계측', 'system_check': 'active'}"
스마트 안전 장비 (웨어러블/위치추적),TramNode,"{'name': '스마트 안전 장비 (웨어러블/위치추적)', 'system_check': 'active'}"
오산천교 (655m 대형교량),TramNode,"{'name': '오산천교 (655m 대형교량)', 'system_check': 'active'}"
능동지하차도 (919m 대규모지하),TramNode,"{'name': '능동지하차도 (919m 대규모지하)', 'system_check': 'active'}"
통합 차량기지 (38편성 전체 수용),TramNode,"{'name': '통합 차량기지 (38편성 전체 수용)', 'system_check': 'active'}"
가스/우수관 이설 (7.3km 집중),TramNode,"{'name': '가스/우수관 이설 (7.3km 집중)', 'system_check': 'active'}"
지역난방관 이설 (4.9km 집중/2.5배),TramNode,"{'name': '지역난방관 이설 (4.9km 집중/2.5배)', 'system_check': 'active'}"
광역철도(망포/오산역) 환승 연계,TramNode,"{'name': '광역철도(망포/오산역) 환승 연계', 'system_check': 'active'}"
도심 밀집 정거장 (19개소 평면선형),TramNode,"{'name': '도심 밀집 정거장 (19개소 평면선형)', 'system_check': 'active'}"
1공구 구조계산서 및 수량산출서,TramNode,"{'name': '1공구 구조계산서 및 수량산출서', 'system_check': 'active'}"
2공구 지장물 종합도 및 환승계획서,TramNode,"{'name': '2공구 지장물 종합도 및 환승계획서', 'system_check': 'active'}"
동탄트램 합사 통합관리센터,JV_Management,{'name': '동탄트램 합사 통합관리센터'}
기술/공종별 인터페이스 통제,JV_Management,{'name': '기술/공종별 인터페이스 통제'}
제안서 논리 일관성 검증,JV_Management,{'name': '제안서 논리 일관성 검증'}
JV 리스크 통합 모니터링,JV_Management,{'name': 'JV 리스크 통합 모니터링'}
토목/구조 설계팀,JV_Team,{'name': '토목/구조 설계팀'}
궤도/시스템 설계팀,JV_Team,{'name': '궤도/시스템 설계팀'}
행정/LCC/안전 전략팀,JV_Team,{'name': '행정/LCC/안전 전략팀'}
Borehole BH-101/102,MicroData,"{'n_value': 10, 'name': 'Borehole BH-101/102', 'rock_depth': 15.5, 'soil_type': 'Silty Sand'}"
Borehole BH-101/102,MicroData,"{'n_value': 10, 'name': 'Borehole BH-101/102', 'rock_depth': 15.5, 'soil_type': 'Silty Sand'}"
Borehole BH-205/208 (Soft Ground),MicroData,"{'n_value': 5, 'name': 'Borehole BH-205/208 (Soft Ground)', 'rock_depth': 22.0, 'soil_type': 'Silty Clay'}"
시추공별 N치 분포 (N>50 연암 도달),MicroData,{'name': '시추공별 N치 분포 (N>50 연암 도달)'}
Pandrol e-Clip 레일체결장치,MicroData,{'name': 'Pandrol e-Clip 레일체결장치'}
침목 배치 간격 600mm,MicroData,{'name': '침목 배치 간격 600mm'}
자갈 도상 두께 250mm (일반구간),MicroData,{'name': '자갈 도상 두께 250mm (일반구간)'}
궤도 절연 저항 50Ω·km 이상,MicroData,{'name': '궤도 절연 저항 50Ω·km 이상'}
레일 온도 신축 이음매 (Expansion Joint),MicroData,{'name': '레일 온도 신축 이음매 (Expansion Joint)'}
몰드형 변압기 (3000kVA),MicroData,{'name': '몰드형 변압기 (3000kVA)'}
정류기용 차단기 (HSCB 2000A),MicroData,{'name': '정류기용 차단기 (HSCB 2000A)'}
SCADA 제어 감시 포인트 (1000pt 이상),MicroData,{'name': 'SCADA 제어 감시 포인트 (1000pt 이상)'}
지하변전소 비상 발전기 (500kW),MicroData,{'name': '지하변전소 비상 발전기 (500kW)'}
광케이블 싱글모드 (24코어 주간선),MicroData,{'name': '광케이블 싱글모드 (24코어 주간선)'}
LTE-R 무선국 커버리지 (SNR 20dB 이상),MicroData,{'name': 'LTE-R 무선국 커버리지 (SNR 20dB 이상)'}
통합 지령실 대형 비디오 월 (DLP 70인치),MicroData,{'name': '통합 지령실 대형 비디오 월 (DLP 70인치)'}
무선 폐쇄회로(CCTV) 4K 고해상도,MicroData,{'name': '무선 폐쇄회로(CCTV) 4K 고해상도'}
터널 배연팬 풍량 (2000CMM),MicroData,{'name': '터널 배연팬 풍량 (2000CMM)'}
승강장 제연 경계벽 (유리형 0.6m),MicroData,{'name': '승강장 제연 경계벽 (유리형 0.6m)'}
스프링클러 습식 배관 (DN100),MicroData,{'name': '스프링클러 습식 배관 (DN100)'}
PSD 도어 구동 모터 (BLDC 100W),MicroData,{'name': 'PSD 도어 구동 모터 (BLDC 100W)'}
101 정거장 상세,MicroData,{'name': '101 정거장 상세'}
102 정거장 상세,MicroData,{'name': '102 정거장 상세'}
103 정거장 상세,MicroData,{'name': '103 정거장 상세'}
104 정거장 상세,MicroData,{'name': '104 정거장 상세'}
105 정거장 상세,MicroData,{'name': '105 정거장 상세'}
106 정거장 상세,MicroData,{'name': '106 정거장 상세'}
107 정거장 상세,MicroData,{'name': '107 정거장 상세'}
108 정거장 상세,MicroData,{'name': '108 정거장 상세'}
109 정거장 상세,MicroData,{'name': '109 정거장 상세'}
110 정거장 상세,MicroData,{'name': '110 정거장 상세'}
111 정거장 상세,MicroData,{'name': '111 정거장 상세'}
112 정거장 상세,MicroData,{'name': '112 정거장 상세'}
113 정거장 상세,MicroData,{'name': '113 정거장 상세'}
114 정거장 상세,MicroData,{'name': '114 정거장 상세'}
115 정거장 상세,MicroData,{'name': '115 정거장 상세'}
116 정거장 상세,MicroData,{'name': '116 정거장 상세'}
117 정거장 상세,MicroData,{'name': '117 정거장 상세'}
201 정거장 상세,MicroData,{'name': '201 정거장 상세'}
202 정거장 상세,MicroData,{'name': '202 정거장 상세'}
203 정거장 상세,MicroData,{'name': '203 정거장 상세'}
204 정거장 상세,MicroData,{'name': '204 정거장 상세'}
205 정거장 상세,MicroData,{'name': '205 정거장 상세'}
206 정거장 상세,MicroData,{'name': '206 정거장 상세'}
207 정거장 상세,MicroData,{'name': '207 정거장 상세'}
208 정거장 상세,MicroData,{'name': '208 정거장 상세'}
209 정거장 상세,MicroData,{'name': '209 정거장 상세'}
210 정거장 상세,MicroData,{'name': '210 정거장 상세'}
211 정거장 상세,MicroData,{'name': '211 정거장 상세'}
212 정거장 상세,MicroData,{'name': '212 정거장 상세'}
213 정거장 상세,MicroData,{'name': '213 정거장 상세'}
214 정거장 상세,MicroData,{'name': '214 정거장 상세'}
215 정거장 상세,MicroData,{'name': '215 정거장 상세'}
216 정거장 상세,MicroData,{'name': '216 정거장 상세'}
217 정거장 상세,MicroData,{'name': '217 정거장 상세'}
218 정거장 상세,MicroData,{'name': '218 정거장 상세'}
219 정거장 상세,MicroData,{'name': '219 정거장 상세'}
변압기 용량: 3000kVA (몰드형),MicroData,{'name': '변압기 용량: 3000kVA (몰드형)'}
정류기: 1500V 2000kW (실리콘),MicroData,{'name': '정류기: 1500V 2000kW (실리콘)'}
통신: 24코어 싱글모드 광케이블,MicroData,{'name': '통신: 24코어 싱글모드 광케이블'}
기계: 승강장 제연 풍량 1200CMM,MicroData,{'name': '기계: 승강장 제연 풍량 1200CMM'}
2공구 전체 공정 지연 (Critical Path),TramNode,"{'name': '2공구 전체 공정 지연 (Critical Path)', 'system_check': 'active'}"
동절기 난방 중단 집단 민원,TramNode,"{'name': '동절기 난방 중단 집단 민원', 'system_check': 'active'}"
환승 효율 극대화 (동선 최적화),TramNode,"{'name': '환승 효율 극대화 (동선 최적화)', 'system_check': 'active'}"
생활 밀착형 안전/CPTED 시스템,TramNode,"{'name': '생활 밀착형 안전/CPTED 시스템', 'system_check': 'active'}"
표준 모듈러 기반 원가 절감 정거장,TramNode,"{'name': '표준 모듈러 기반 원가 절감 정거장', 'system_check': 'active'}"
지반조사보고서 (Geotechnical Report),TramNode,"{'label': '지반조사보고서', 'name': '지반조사보고서 (Geotechnical Report)', 'system_check': 'active'}"
동시인양장치,TramNode,"{'category': 'Inspection', 'name': '동시인양장치', 'type': 'Lifting'}"
차륜전삭기(CNC),TramNode,"{'category': 'Inspection', 'name': '차륜전삭기(CNC)', 'type': 'Machining'}"
차체자동세척기,TramNode,"{'category': 'Inspection', 'name': '차체자동세척기', 'type': 'Cleaning'}"
TCMS시험기,TramNode,"{'category': 'Inspection', 'name': 'TCMS시험기', 'type': 'Testing'}"
폐수처리장,TramNode,"{'category': 'Infrastructure', 'name': '폐수처리장', 'type': 'Utility'}"
일상검사(3일),TramNode,"{'category': 'Maintenance', 'cycle': 'Short', 'name': '일상검사(3일)'}"
월상검사(3개월),TramNode,"{'category': 'Maintenance', 'cycle': 'Medium', 'name': '월상검사(3개월)'}"
전반검사(6년),TramNode,"{'category': 'Maintenance', 'cycle': 'Long', 'name': '전반검사(6년)'}"
표준: 최소 곡선반경(본선),TramNode,"{'category': 'Standard', 'name': '표준: 최소 곡선반경(본선)', 'source': '국토부_가이드라인', 'value': '25m'}"
표준: 최소 곡선반경(정거장),TramNode,"{'category': 'Standard', 'name': '표준: 최소 곡선반경(정거장)', 'source': '국토부_가이드라인', 'value': '160m'}"
표준: 최대 구배(본선),TramNode,"{'category': 'Standard', 'name': '표준: 최대 구배(본선)', 'source': '경기도_규정', 'value': '60permil'}"
표준: 유치선 구배,TramNode,"{'category': 'Standard', 'name': '표준: 유치선 구배', 'source': '국토부_가이드라인', 'value': '3permil'}"
표준: 플랫폼 폭,TramNode,"{'category': 'Standard', 'name': '표준: 플랫폼 폭', 'source': '국토부_가이드라인', 'value': '2.0m'}"
Insight: 진동감응형 동적 차륜관리,TramNode,"{'category': 'Strategy', 'name': 'Insight: 진동감응형 동적 차륜관리', 'type': 'Innovation', 'value': 'LCC_Optimization'}"
Conflict: 곡선부 캔트 미설치,TramNode,"{'category': 'Conflict', 'name': 'Conflict: 곡선부 캔트 미설치', 'subject': 'Track'}"
Conflict: 초급곡선 R=25m 적용,TramNode,"{'category': 'Conflict', 'name': 'Conflict: 초급곡선 R=25m 적용', 'subject': 'Alignment'}"
Decision: 강화노반 EV2=80MPa 적용,TramNode,"{'category': 'Decision', 'name': 'Decision: 강화노반 EV2=80MPa 적용', 'subject': 'Civil'}"
Justification: 홈붙이레일 2점접촉 역학,TramNode,"{'category': 'Justification', 'name': 'Justification: 홈붙이레일 2점접촉 역학'}"
Justification: 5모듈 관절식 차량 특성,TramNode,"{'category': 'Justification', 'name': 'Justification: 5모듈 관절식 차량 특성'}"
Justification: KDS 일반철도 기준 역차용,TramNode,"{'category': 'Justification', 'name': 'Justification: KDS 일반철도 기준 역차용'}"
Strategy: 회차 시간 단축을 통한 차량 대수 최적화,TramNode,"{'benefit': '약 100억원 원가절감', 'category': 'Strategy', 'method': '고성능 충전 및 AI 자동점검 도입', 'name': 'Strategy: 회차 시간 단축을 통한 차량 대수 최적화'}"
Justification: RFP LCC 절감 의무 기반 정당성,TramNode,"{'category': 'Justification', 'legal_basis': '입찰안내서 제4장 기술사항', 'logic': '차량대수 축소는 초기비용 및 유지관리비(LCC) 최적화의 핵심', 'name': 'Justification: RFP LCC 절감 의무 기반 정당성'}"
Global: 얕은 굴착(Shallow) 공법,TramNode,"{'benefit': '지장물 이설비용 획기적 절감', 'category': 'Global_Benchmark', 'name': 'Global: 얕은 굴착(Shallow) 공법', 'origin': 'France/Germany'}"
Global: 보행자 빨림방지 전면부 설계,TramNode,"{'benefit': '보행자 사망사고 제로화', 'category': 'Global_Benchmark', 'name': 'Global: 보행자 빨림방지 전면부 설계', 'origin': 'Europe'}"
Global: RAMS 기반 LCC 최적화,TramNode,"{'benefit': '유지관리비 20% 절감', 'category': 'Global_Benchmark', 'name': 'Global: RAMS 기반 LCC 최적화', 'origin': 'Australia'}"
