id,label,section,keywords,content,risk_level
RFP-A-001,Constraint,1.5 (4),"설계변경, 임의변경 금지",발주자 승인 없이 당초 제출한 설계도서 내용을 임의로 변경 불가,High
RFP-A-002,Constraint,1.5 (7),"설계서 상충, 계약상대자 부담",입찰안내서와 상이하거나 누락된 사항은 계약상대자 부담으로 보완,High
RFP-A-003,Constraint,1.10 (2),"추정가격, 입찰상한","발주자 공고 추정가격 이하로 입찰해야 하며, 초과 시 실격 처리",High
RFP-A-004,Constraint,1.10 (7),"Fast-Track, 우선시공",우선시공분 실시설계 적격 심의 후 즉시 공사 착수 의무 (120일 내),High
RFP-A-005,Constraint,1.10 (46),"내구수명, 100년",철도구조물은 내구년한 100년 이상 확보 및 유지관리 능률 고려 설계,High
RFP-A-006,Tech_Spec,1.10 (69),"무가선 트램, 슈퍼캐퍼시터",슈퍼캐퍼시터+배터리 탑재형 무가선 저상 노면전차 사양 반영,Medium
RFP-A-007,Utility_Rule,1.10 (22),"지장물 조사, 이설",착수 전 지장물 철저 조사 및 공사방법 검토 보고 의무,High
RFP-A-008,Utility_Rule,1.10 (64),"PS항목, 정산","지하지장물(가스, 통신 등) 이설비는 사후원가검토 PS항목 관리",Medium
RFP-A-009,Constraint,1.10 (70),"DFS, 설계안전성",설계 완료 전 관계기관과 설계안전성검토(DFS) 협의 완료 의무,Medium
RFP-A-010,Tech_Spec,1.10 (93),"스마트 건설, 로드맵",정부의 스마트 건설기술 활성화 지침 및 로드맵 적극 준수 및 반영,Medium
RFP-A-011,Constraint,1.7 (1),"발주자 의견, 설계수정","설계VE, 자문회의 등 발주기관 제기 의견은 특별 사유 없는 한 반영",Medium
RFP-A-012,Constraint,1.10 (4),"인터페이스, 협력","노반, 궤도, 전기, 신호 등 분야 간 인터페이스 부조화 예방 책임",High
RFP-A-013,Constraint,1.5 (8),"인허가 변경, 비용부담",기술제안 반영을 위한 인허가 변경 소요 비용은 계약상대자 부담,Medium
RFP-B-001,Tech_Spec,2.2 (19),"집수정, 50cm, 완전배수",본선 지하차도 집수정 펌프를 바닥보다 50cm 낮게 설치하여 잔수 제거,Medium
RFP-B-002,Tech_Spec,2.2 (31),"친환경 자재, HCFC 금지",냉매 및 소화약제 선정 시 HCFC 계열 사용 금지,Low
RFP-B-003,Tech_Spec,2.2 (34),"BF 인증, 우수등급",장애물 없는 생활환경(BF) 인증 우수등급 이상 취득 의무,Medium
RFP-B-004,Constraint,2.2 (39-바),"가설재 매몰, 준공도면",H-Pile 등 가설재 매몰 시 위치를 준공도면에 상세 명기,Low
RFP-B-005,Tech_Spec,2.2 (39-차),"선로전환기, 폭우배수",매립형 선로전환기 설치 구간은 폭우 대비 전용 배수시설 설치 필수,High
RFP-B-006,Constraint,2.2 (41),"차수공법, 지하수위",지반 특성에 맞는 차수그라우팅 적용으로 지하수위 저하 방지,High
RFP-B-007,Constraint,2.2 (51),"암버럭 매각, 공사비 공제",발생 암버럭은 품질 검사 후 발주처에 매각하고 대금은 공사비에서 공제,Medium
RFP-B-008,Constraint,2.2 (66),"기존교량, 내하력검토",기존 도로 시설물 통과 시 트램 만차 하중 기준 내하력 검토 및 보강,High
RFP-B-009,Tech_Spec,2.2 (69),"공동관로, 상하선 확보",시스템용 공동관로를 상하선에 각각 확보 및 횡단배관 설치,Medium
RFP-B-010,Constraint,2.2 (72),"인동선 연계, 개착구간",동탄~인덕원선 개착 공사 구간과 중첩 시 간섭 및 공정 계획 수립,High
RFP-B-011,Constraint,2.2 (76),"선로기울기, 급구배",경기도 노면전차 건설 규정 준수 및 급구배 구간 차량 안전 운행 검토,High
RFP-B-012,Constraint,2.2 (94),"디자인가이드라인, 특화정거장",동탄역 등 특화정거장은 디자인가이드라인 준수,Medium
RFP-B-013,Tech_Spec,2.2 (16),"지하수 방류, 전용관로",지하수 발생량 100㎥/일 이상 시 인근 하천 방류 전용관로 설치,Medium
RFP-CD-001,Tech_Spec,4.1 (9),"검수정보시스템, CBM","트램 이력관리, 고장분석, 상태기반유지보수(CBM) 시스템 구축",Medium
RFP-CD-002,Tech_Spec,4.1 (100),"LTE-R, 주파수 간섭",동탄 LTE-R과 기존 PS-LTE 간 주파수 간섭 해소,High
RFP-CD-003,Tech_Spec,4.1 (154),"사고복구차량, 도로궤도겸용",도로와 궤도를 모두 주행 가능한 다목적 사고복구차량 공급,Medium
RFP-CD-004,Tech_Spec,2.2 (85),"충전설비, 정거장 정차",정거장 내 무가선 충전을 위한 급속 충전 시스템 구축,High
RFP-CD-005,Tech_Spec,2.2 (79),"ATP/ATO, 신호제어",자동열차방호(ATP) 및 운전 지원 기술 반영,Medium
RFP-CD-006,Utility_Rule,4.1 (98),"AFC, 수도권 통합운임",수도권 통합운임체계가 적용된 역무자동화(AFC) 설비 구축,Medium
RFP-CD-007,Tech_Spec,4.1 (105),"경영정보, 지능형CCTV",차량기지 및 정거장 CCTV 통합 관제 연계,Low
RFP-CD-008,Constraint,4.1 (133),"세척기, 결빙방지",겨울철 차체 세척 시 세척수 결빙 및 동파 방지 기능 포함,Medium
RFP-CD-009,Tech_Spec,2.1 (21),설계안전보건대장,산업안전보건법에 따른 설계안전보건대장 작성,High
RFP-CD-010,Constraint,4.1 (147),"제작사 시험기, 인터페이스",차량 제작사 공급 시험기와 차량기지 검수 장비 간 호환성 확보,Medium
RFP-CD-011,Tech_Spec,1.10 (69),"슈퍼캐퍼시터, 배터리",하이브리드형 무가선 주행 시스템 최적화 제안,High
RFP-E-001,Constraint,3.1 (5),철도종합시험운행,국토부 고시에 따른 시설물 검증 및 영업 시운전 수행,High
RFP-E-002,Tech_Spec,4.2 (603),유지관리 매뉴얼,차량 및 시스템별 유지보수 매뉴얼 작성 및 교육,Medium
RFP-E-003,Constraint,3.3 (카),전력/용수 신청,공사 및 시운전용 전력 용수 사용료 계약상대자 부담,Medium
RFP-E-004,Constraint,3.3 (커),사용전검사,전기사업법에 따라 KESCO로부터 전기사용전 검사 수검,High
RFP-E-005,Tech_Spec,4.1 (12),예비품 관리,유지보수에 필요한 필수 예비품 및 특수 공구 납품,Medium
RFP-E-006,Constraint,3.16 (1),운영 소음진동,시운전 중 발생하는 소음 진동 민원 해결,High
RFP-E-007,Constraint,4.1 (798),측량기준점 인계,궤도 등 타 분야 공사 착수를 위해 기준점 공식 인계,Medium
RFP-E-008,Tech_Spec,4.2 (522),신재생에너지 신고,태양광 등 설치 완료 후 에너지관리공단 신고,Low
RFP-E-009,Constraint,3.3 (버),하자보수 책임,하자 통지 시 즉시 보수 작업 및 원인 분석 보고,Medium
RFP-E-010,Constraint,3.6 (5),준공도면 오류,승인된 도면이라도 오류 발견 시 계약자 비용 시정,High
RFP-G-001,Constraint,시스템,"RAMS, 신뢰성",안전성/가용성/유지보수성 목표치 달성 및 입증,Critical
RFP-G-002,Constraint,정보통신,"보안, 해킹",LTE-R 및 열차제어시스템 사이버 보안 체계 구축,High
RFP-G-003,Constraint,토목,"지반, 싱크홀",연약지반 및 도심지 싱크홀 방지 계측 시스템 운영,High
RFP-G-004,Tech_Spec,운영,"LCC, 유지보수",30년 생애주기 비용 최적화 설계 및 데이터 제출,Medium
RFP-G-005,Constraint,민원,"보상, 소음",공사 중 상가 민원 대응 및 영업 손실 보상 지원,High
RFP-H-001,Tech_Spec,시스템,"TMS, 관제",열차 운행 관리 시스템(TMS) 및 중앙 관제 연동,High
RFP-H-002,Constraint,차량기지,검수설비,차량기지 내 중검수/경검수 설비 및 동선 최적화,Medium
RFP-H-003,Constraint,전력,변전소,한전 수전용 변전소 위치 및 전력 계통 이중화,High
RFP-H-004,Constraint,환경,수목이식,노선 구간 내 보호수 및 가로수 이식/복원 계획,Low
RFP-H-005,Tech_Spec,통신,SCADA,전력 및 설비 원격 감시 제어 시스템(SCADA) 구축,Medium
RFP-H-006,Constraint,토목,배수시스템,노면전차 궤도 내 강우 대비 배수 및 펌프장 설계,Medium
RFP-H-007,Constraint,운영,예비품,초기 3년분 필수 예비품 및 특수 공구 확보 의무,Low
RFP-H-008,Constraint,시스템,검사/시험,각 공정별 공장 검사 및 현장 설치 시험(SAT) 준수,Medium
RFP-I-001,Tech_Spec,에너지,ESS,회생제동 에너지 저장장치(ESS),Medium
RFP-I-002,Tech_Spec,보안,AI CCTV,AI 지능형 CCTV 보안 시스템,Low
RFP-I-003,Constraint,편의,배리어프리,교통약자 배리어 프리(Barrier-Free),Medium
RFP-I-004,Tech_Spec,편의,PIS,스마트 정거장 PIS 시스템,Low
RFP-I-005,Constraint,안전,화재대응,지하/다중시설 화재 대응 시스템,High
RFP-J-001,Tech_Spec,교통,ITS우선신호,ITS 연동 우선신호 시스템,Critical
RFP-J-002,Constraint,민원,소음진동,상가 밀집지 소음/진동 저감,High
RFP-J-003,Regulation,보안,사이버보안,제어망 사이버 보안 가이드라인,Critical
RFP-J-004,Constraint,안전,비상구원,비상 구원/견인 시나리오,Medium
RFP-J-005,Tech_Spec,인터페이스,PSD연동,차량-스크린도어(PSD) 연동,High
RFP-J-006,Tech_Spec,시스템,EMC/EMI,전자기 적합성(EMC/EMI) 관리,High
